"sol:0","sol:1","sol:2","anal2","error2","Points:0","Points:1","Points:2"
-2.6667,0,0,-2.6667,2.7778e-08,-2,0,2.7778e-08
-11.52,0,0,-11.52,0,-1,0,0
0.68481,11.829,0,0.68481,3.9224e-08,0,1,3.9224e-08
13.333,0,0,13.333,2.7778e-08,1,0,2.7778e-08
13.333,0,0,13.333,2.7778e-08,3,0,2.7778e-08
0.68481,-11.829,0,0.68481,3.9224e-08,4,1,3.9224e-08
-11.52,0,0,-11.52,0,5,0,0
-2.6667,0,0,-2.6667,2.7778e-08,6,0,2.7778e-08
-0.27352,-0.64879,0,-0.27352,2.7301e-09,6,3,2.7301e-09
-0.27352,0.64879,0,-0.27352,2.7301e-09,-2,3,2.7301e-09
-3.5554,0,0,-3.5554,3.222e-08,-1.75,0,3.222e-08
-4.9366,0,0,-4.9366,9.8714e-09,-1.5,0,9.8714e-09
-7.2446,0,0,-7.2446,1.2472e-08,-1.25,0,1.2472e-08
-3.0657,0,0,-3.0657,2.4584e-08,-1.875,0,2.4584e-08
-4.1651,0,0,-4.1651,3.658e-08,-1.625,0,3.658e-08
-5.9317,0,0,-5.9317,1.7988e-08,-1.375,0,1.7988e-08
-9.0246,0,0,-9.0246,3.5724e-08,-1.125,0,3.5724e-08
-11.371,1.8621,0,-11.371,8.9804e-07,-0.98769,0.15643,8.9804e-07
-10.926,3.6778,0,-10.926,8.3397e-07,-0.95106,0.30902,8.3397e-07
-10.197,5.4019,0,-10.197,7.2076e-08,-0.89101,0.45399,7.2076e-08
-9.2007,6.9914,0,-9.2007,3.5029e-07,-0.80902,0.58779,3.5029e-07
-7.9615,8.4066,0,-7.9615,4.2529e-07,-0.70711,0.70711,4.2529e-07
-6.5089,9.6122,0,-6.5089,3.7807e-08,-0.58779,0.80902,3.7807e-08
-4.8776,10.578,0,-4.8776,7.8125e-07,-0.45399,0.89101,7.8125e-07
-3.1064,11.28,0,-3.1064,4.0938e-07,-0.30902,0.95106,4.0938e-07
-1.2375,11.7,0,-1.2375,3.0983e-07,-0.15643,0.98769,3.0983e-07
-11.483,0.93397,0,-11.483,6.9973e-07,-0.99692,0.078459,6.9973e-07
-11.185,2.7786,0,-11.185,1.0608e-07,-0.97237,0.23345,1.0608e-07
-10.596,4.5541,0,-10.596,3.007e-07,-0.92388,0.38268,3.007e-07
-9.7308,6.2161,0,-9.7308,3.6119e-07,-0.85264,0.5225,3.6119e-07
-8.6098,7.7231,0,-8.6098,8.3602e-08,-0.76041,0.64945,8.3602e-08
-7.2598,9.0376,0,-7.2598,2.3248e-08,-0.64945,0.76041,2.3248e-08
-5.7132,10.127,0,-5.7132,2.9197e-07,-0.5225,0.85264,2.9197e-07
-4.0069,10.963,0,-4.0069,7.5778e-07,-0.38268,0.92388,7.5778e-07
-2.1815,11.526,0,-2.1815,3.566e-07,-0.23345,0.97237,3.566e-07
-0.28023,11.801,0,-0.28023,2.8551e-08,-0.078459,0.99692,2.8551e-08
2.6152,11.663,0,2.6152,3.2227e-07,0.15643,0.98769,3.2227e-07
4.5081,11.207,0,4.5081,4.1169e-07,0.30902,0.95106,4.1169e-07
